Provinsi,Tahun,outflow_tunai,kartu_atm_debet,Server_Based,SKNBI_Asal,scaled_idx,Cluster_raw,Target_Semantic,PCA1,PCA2
Kepulauan Riau,2024,6.9146079203961905,1.3419272663661512,1.094064993151247,7.121344978808663,83,0,Digital Menengah,-0.23485940739598654,0.23982713366202976
Lampung,2024,7.05568476822205,2.122444186852263,1.8110722706967959,6.733822036122541,88,0,Digital Menengah,0.4449905275146221,-0.019563234979762062
Maluku,2024,5.759769283755149,0.8532687135979617,0.39693869466991427,5.3796966989159545,93,3,Digital Rendah,-1.974407608808359,-0.21546828988402292
Maluku Utara,2024,5.8296196771712046,0.677692664014364,0.31384421451071387,5.047396294749765,98,3,Digital Rendah,-2.1840097733427117,-0.08797254457000217
Nanggroe Aceh Darussalam,2024,6.8076198190909505,1.7650361583175966,1.2808239551650875,6.639033135193567,103,0,Digital Menengah,-0.1426013541647408,0.07293475997024207
Nusa Tenggara Barat,2024,6.7723228390856685,1.8011052994757495,1.2149333425695343,6.584351657693425,108,0,Digital Menengah,-0.1901109851039972,0.08143373115934782
Nusa Tenggara Timur,2024,6.306171260305072,1.7146117406669137,0.6919573897061022,6.330782668598637,113,0,Digital Menengah,-0.7930299109889161,-0.006091374845515751
Papua,2024,7.070159584811946,1.1717889661904641,0.3585476643028082,6.409535555656611,118,0,Digital Menengah,-0.8310043112504241,0.8081215891287786
Papua Barat,2024,5.42812279432564,0.7213845599449364,0.32163811014307236,5.079197560991962,123,3,Digital Rendah,-2.343699110802376,-0.42554752361399084
Riau,2024,7.467097333890188,2.002050524367199,1.6302053519270499,7.7665991652464905,128,0,Digital Menengah,0.8513720016160397,0.3512800601961108
Sulawesi Barat,2024,5.260370691399097,0.8022480423934946,0.4302817780437556,3.439592564793597,133,3,Digital Rendah,-2.8912511367205327,-0.5175073694092024
Sulawesi Selatan,2024,7.217107827526372,2.37992427250339,1.8165797430460788,7.276995851172426,138,0,Digital Menengah,0.8469953635914792,0.06860406858776232
Sulawesi Tengah,2024,6.4927334304905155,1.297097142372384,0.7736407481193486,6.401870354632801,143,0,Digital Menengah,-0.8588642235260326,0.11027926802228331
Sulawesi Tenggara,2024,6.21139156137626,1.3075135201520216,0.7220103120761244,5.695896884096263,148,3,Digital Rendah,-1.255702006028546,-0.04850893644795329
Sulawesi Utara,2024,6.428568696245574,1.3879438125266694,0.9013007412418145,6.33658739313976,153,0,Digital Menengah,-0.8056777557458402,-0.008339215308376918
Sumatera Barat,2024,6.628053103587619,1.977111268160283,1.4270897552863595,6.627118258856381,158,0,Digital Menengah,-0.05555766260370479,-0.1570567633185552
Sumatera Selatan,2024,7.50843426556167,2.1789669348250573,1.9553283605174254,7.6404468191753905,163,0,Digital Menengah,1.0723670296742553,0.21642940132518132
Sumatera Utara,2024,7.9962230862138055,2.768319753352959,2.3170903807967465,8.743264538417497,168,1,Digital Maju,2.164574047238182,0.3394569126875757
Bali,2025,6.974865087292468,1.8305424700491524,1.5095493264481559,7.358441879751496,4,0,Digital Menengah,0.3247654774541081,0.04112734334092524
Banten,2025,6.898430199490521,2.6820887734517993,2.7432933901281733,7.797879645200088,9,0,Digital Menengah,1.4560696339132564,-0.7263677556259815
Bengkulu,2025,6.482748671692123,1.1796942044295715,0.970155853843891,5.4267979413823,14,3,Digital Rendah,-1.166292017404921,0.0637765751333205
D.I. Yogyakarta,2025,6.526423386274056,1.9074699613426531,1.7093996493731898,6.847677350887802,19,0,Digital Menengah,0.06382573833544064,-0.40277963957415996
DKI Jakarta,2025,9.384795201132638,3.463344500219998,6.464218350653055,12.685752884195738,24,2,Digital Spesialis Non-Tunai,6.474972505842931,-0.9897410146917802
Gorontalo,2025,5.091933127505785,0.8442941850363981,0.5995556004335918,4.708054020665438,29,3,Digital Rendah,-2.4416723682267363,-0.8287113593801378
Jambi,2025,6.604791907370682,1.540157713958417,1.353641796614803,6.9623414242448805,34,0,Digital Menengah,-0.21659023442947242,-0.14754715030900498
Jawa Barat,2025,8.0141930951168,4.023935347285044,4.127626968891948,8.9252277160667,39,1,Digital Maju,3.7342382189709267,-0.6501058083167492
Jawa Tengah,2025,8.575050786732877,3.8168869504632115,3.3889264641923833,8.693920905454858,44,1,Digital Maju,3.4797193121319525,0.22323913005949356
Jawa Timur,2025,8.709702160067184,3.833296308402306,3.5160554222694245,9.406378484028936,49,1,Digital Maju,3.8558382878657573,0.22021541911300907
Kalimantan Barat,2025,6.923956411303881,1.800672688809834,1.475153248197303,7.437626550286478,54,0,Digital Menengah,0.29508789428769033,0.013157968770194761
Kalimantan Selatan,2025,6.490266222011096,1.736905344996495,1.5591035955757073,7.033131787784178,59,0,Digital Menengah,-0.050097336599707165,-0.36036516592874157
Kalimantan Tengah,2025,6.837872563323118,1.4043669276612447,1.097831164022533,6.430277901225177,64,0,Digital Menengah,-0.4731713649593412,0.21765826160390778
Kalimantan Timur,2025,7.0751852191295495,2.017097556240901,1.6392975385793982,5.72788609397556,69,0,Digital Menengah,-0.022779224726151903,0.15516474648781872
Kalimantan Utara,2025,5.309760862847354,0.0,0.017387145142183653,7.657665780337674,74,3,Digital Rendah,-2.044363234420494,-0.509170841724459
Kep Bangka Belitung,2025,5.917287057851359,0.8858493311662377,0.8665891128998102,5.729586162292515,79,3,Digital Rendah,-1.5432572274230214,-0.3583545109905435
Kepulauan Riau,2025,6.769995012255757,1.4400475354749402,1.2348433425610363,7.054628739697016,84,0,Digital Menengah,-0.21175018537177126,0.04798188987468821
Lampung,2025,6.927960620216637,2.181528305591708,1.9583318615571523,6.807618423299543,89,0,Digital Menengah,0.5066990209046386,-0.20900381774818758
Maluku,2025,5.445402835486221,0.8862555769219438,0.47688422140379094,5.348871838755183,94,3,Digital Rendah,-2.084835948678548,-0.5153174437204089
Maluku Utara,2025,5.496175203768536,0.7451683963120802,0.3881455768582086,5.17236540859203,99,3,Digital Rendah,-2.23526469114909,-0.41146142451719026
Nanggroe Aceh Darussalam,2025,6.704613648353749,1.8393915604924378,1.401391757884887,6.51769914897836,104,0,Digital Menengah,-0.1395135366726363,-0.06983114737074783
Nusa Tenggara Barat,2025,6.759829370162493,1.878472718448684,1.3368902631097443,6.493991504746516,109,0,Digital Menengah,-0.12982251421163105,0.010308979225855469
Nusa Tenggara Timur,2025,5.990245816270115,1.7814083841442425,0.8176683989665718,6.210476163735603,114,3,Digital Rendah,-0.8957020437318648,-0.32659659312134515
Papua,2025,6.450675679605736,1.2311372242270175,0.44969184070966106,6.328951480259247,119,3,Digital Rendah,-1.0891018726295707,0.2538792869159749
Papua Barat,2025,5.039695436213441,0.7688501073697184,0.39795831348982835,4.91737105393127,124,3,Digital Rendah,-2.5291396509249404,-0.7763215220890864
Riau,2025,7.371541141224281,2.087506049581552,1.7845877474496397,7.701406361121313,129,0,Digital Menengah,0.8987276135493493,0.19280310905865852
Sulawesi Barat,2025,5.012070773104914,0.848971718445101,0.4957189847509885,3.3787451950503606,134,3,Digital Rendah,-2.9789684838994845,-0.7537380828075191
Sulawesi Selatan,2025,7.152617693129832,2.4398627505063155,1.9797646912573181,7.1770961772407444,139,0,Digital Menengah,0.8884543853752548,-0.06608787888023782
Sulawesi Tengah,2025,6.357214647687041,1.37631493643441,0.9339363371400449,6.241636439920954,144,3,Digital Rendah,-0.8640124506141728,-0.07791499928435805
Sulawesi Tenggara,2025,5.917153888294567,1.3839279041771846,0.898385624791032,5.651568763607224,149,3,Digital Rendah,-1.2933372728924746,-0.38318962378895915
Sulawesi Utara,2025,6.177003724573155,1.4186945772642663,1.0160239219507035,6.3446450183250676,154,3,Digital Rendah,-0.8571046826208436,-0.2774212789406578
Sumatera Barat,2025,6.47138491017199,1.9973317274219144,1.6102012523192586,6.5153364317085005,159,0,Digital Menengah,-0.07503598135248457,-0.376343973078878
Sumatera Selatan,2025,7.283264426733858,2.2566557695328417,2.1123381379956188,7.5363698103825865,164,0,Digital Menengah,1.0399972881060546,-0.04734870912389766
Sumatera Utara,2025,7.850244476442897,2.818975714306357,2.5022720756657555,8.611233726457014,169,1,Digital Maju,2.160408365725336,0.12838267399214245
